year,ISG,TO,P_GDP,P_GDPb,FX,EI,EIb,TI
1960,6.97381556958263,19.3039436708071,89.0352412832723,,,,,
1961,6.79411774906471,22.4823523745223,97.5952739108149,,,,,
1962,7.96386176172681,21.554848275691,100.12211579079,,,,,
1963,7.80459286326725,21.6397630631354,101.901414464052,,,,,
1964,10.4230244561503,24.1502678104311,100.221113507985,,,,,
1965,10.723024748933,23.0293137134448,106.64664823646,,,,,
1966,10.3150855684753,22.9361029749964,112.665358839312,,,,,
1967,8.10282841164145,21.9018601093214,122.870630560939,,,,,
1968,9.26234551475759,19.9371403769383,122.847593497904,,,,,
1969,9.18640400926977,19.8113211700256,135.147381311241,,,,,
1970,8.72908283074018,20.8205969538367,140.002714037943,,,,,
1971,7.68383878031331,17.0190718372794,133.551423017287,,7.86884258502912,0.649676657143005,,
1972,6.06410210550716,19.4072895559385,94.3816784627895,,7.7001841681495,0.9339369236707543,,
1973,12.1103374893782,18.3946565109774,119.559743375323,,7.84981599931742,0.7856015169340903,,
1974,13.3727281578377,14.0496210654104,182.019989366781,,8.22600224121538,0.5244169194112045,,
1975,11.6110473057592,10.9956261323865,277.570640891354,,12.186180036989,0.34589277066576135,,
1976,14.4492027919251,22.3822749296616,141.197168777034,,15.3991686037548,0.7072376046658891,,
1977,16.7290739025876,19.4221981983695,131.373243400085,,15.3750999994167,0.7589487812168942,,
1978,14.3097126896709,21.0385149611892,176.03394976502,,15.01611666575,0.5704228148642461,,
1979,15.6864548108505,21.9070635430834,200.769664090984,,15.5519249993333,0.5059826511679407,,
1980,20.1166762234798,23.377231112235,227.751946526218,,15.4540583325,0.4632455759552976,,136.0
1981,19.8059719535783,19.2471590909091,247.649619808649,,17.9866916658333,0.4234272872944858,,172.0
1982,20.04288227039,20.6069241937352,220.718810111852,,22.1178833323333,0.4889306244595924,,144.0
1983,20.8716248676477,20.3168806212371,204.417678191801,,24.6154249995,0.5267277690007666,,163.0
1984,21.4305495950497,16.8117271749034,213.996657932288,,25.3539333850833,0.4973407100319012,,166.0
1985,20.3216634239062,18.2221846249994,245.453904178514,,27.9945916666667,0.4466627626938109,,136.0
1986,20.3790141468201,17.0187425082782,233.658047126004,,30.4069,0.4893292316076774,,93.0
1987,19.6008172704812,16.6877976312963,253.974463110316,,30.9498333333333,0.4316769723819403,,121.0
1988,19.9362085702399,17.6780643099612,270.69960091549,,31.7332485981559,0.43368687692585806,,133.0
1989,19.7867069022062,18.3251740190693,285.829214029315,,32.27,0.4204187311041881,,108.0
1990,20.1456258361335,18.9665020125385,306.268703808998,860.210510017322,34.5688083333333,0.4031165403857296,0.14352531022367868,108.0
1991,21.1195045357667,18.8898268850747,293.160415517259,899.142123457605,36.5961833333333,0.4055740776753408,0.13223522959542236,113.0
1992,21.71789053342,19.9340055024511,293.644998454253,948.272146878142,38.9507583333333,0.41794327832873895,0.1294216578255979,161.0
1993,22.9342560517422,23.1215830698982,300.555753175017,994.673732719541,39.5672575,0.4218815011505422,0.12747789366290657,107.0
1994,23.4699924276778,22.8658645545703,299.533039744954,1033.08694927569,40.2117391666667,0.43277629665933304,0.12547907972201156,128.0
1995,23.5808244521571,28.2094960764218,329.424084643072,1085.34990426277,40.2783183333333,0.4190893855664037,0.12720150126849347,226.0
